AgriPulse_India_2000_2026,,,,,,,,,,
,,,,,,,,,,
ID,State_Region,YEAR,CROP-TYPE,SOIL_TYPE,SOIL_PH,FERTILIZER(KG/HA),PESTICIDE(KG/HA),AVG_YIELD,TEMP,RAIN
1,Punjab,2000,Wheat,Alluvial_Soil,7.2,180,2.4,62.5,24.5,1200
2,Haryana,2001,Rice,Alluvial_Soil,7.1,175,2.2,51.8,26.8,850
3,UP,2002,Sugarcane,Alluvial_Loam,6.8,230,3.5,890,22.1,1450
4,Maharashtra,2003,Cotton,Black_Regur,7.8,115,1.6,24.2,28.3,600
5,Gujarat,2004,Groundnut,Sandy_Loam,7.4,100,0.8,28.5,19.5,950
6,Karnataka,2005,Maize,Red_Loam,6.4,140,1.4,45.2,25.4,1100
7,AP,2006,Rice,Coastal_Alluvial,6.6,165,2.1,41.5,27.6,720
8,TN,2007,Coconut,Coastal_Sandy,6.7,85,0.6,165,23.9,1380
9,Kerala,2008,Rubber,Laterite_Soil,5.1,75,0.4,24.5,21.4,1600
10,MP,2009,Soybean,Medium_Black,7.5,125,1.1,21,29.1,550
11,Rajasthan,2010,Wheat,Sandy_Loam,7.9,90,0.8,33.2,26.3,890
12,Bihar,2011,Maize,Alluvial_Loam,7.1,135,1.4,52.5,24.8,1250
13,Assam,2012,Jute,Alluvial_Clay,5.8,80,1,29.8,18.7,1050
14,HP,2013,Apple,Mountain_Soil,6,155,2.8,152,31.5,400
15,Odisha,2014,Rice,Red_Yellow,6.3,120,1.5,37.5,22.8,1550
16,Telangana,2015,Turmeric,Black_Soil,7.5,150,1.9,65,26.9,780
17,Punjab,2016,Mustard,Alluvial_Soil,7.3,130,1.2,25.8,25.1,1150
18,Haryana,2017,Wheat,Alluvial_Soil,7.2,195,2.6,60.5,20.6,920
19,UP,2018,Potato,Alluvial_Loam,6.9,225,3.3,305,28.7,640
20,Maharashtra,2019,Jowar,Regur_Soil,7.7,70,0.5,18.5,24.2,1300
21,Karnataka,2020,Tobacco,Red_Loamy,6.5,145,1.5,21.8,27.4,810
22,WB,2021,Tea,Acidic_Alluvial,5.3,165,2.1,32.2,23.5,1420
23,AP,2022,Chillies,Black_Soil,7.6,135,1.4,25.2,19.8,980
24,Kerala,2023,Pepper,Red_Loam,5.5,60,0.3,10.5,30.5,480
25,Bihar,2024,Gram,Alluvial_Soil,7.1,95,0.9,18.8,25.8,1120
26,Assam,2025,Rubber,Forest_Soil,5.4,85,0.7,17.5,28.1,700
27,HP,2026,Potato,Mountain_Soil,5.9,160,2.5,252,21.9,1500
28,J_K,2000,Saffron,Karewa_Soil,7.8,45,0.1,0.12,26.5,860
29,Odisha,2001,Sugarcane,Coastal_Alluvial,6.8,185,2.9,785,24.7,1220
30,Telangana,2002,Soybean,Black_Soil,7.4,115,1.3,18.5,17.9,1100
31,Chhattisgarh,2003,Pulses,Red_Yellow_Soil,6.1,90,0.8,14.5,32.1,350
32,Jharkhand,2004,Potato,Red_Loamy,6.4,140,1.5,215,23.4,1480
33,Punjab,2005,Rice,Alluvial_Soil,7.2,205,2.8,54.8,27.2,790
34,Haryana,2006,Mustard,Sandy_Loam,7.6,140,1.6,28.2,25.6,1180
35,Rajasthan,2007,Bajra,Sandy_Desert,8.3,60,0.4,15.5,20.3,940
36,UP,2008,Wheat,Alluvial_Soil,7.1,210,3,63.5,29.4,620
37,Gujarat,2009,Cotton,Black_Soil,7.8,125,1.1,26.5,24.1,1350
38,Maharashtra,2010,Sugarcane,Deep_Black,7.9,235,3.4,915,26.7,830
39,Karnataka,2011,Tobacco,Red_Loamy,6.6,155,1.8,24.2,22.5,1400
40,WB,2012,Jute,New_Alluvial,6.3,105,1.2,38.5,19.1,1000
41,TN,2013,Groundnut,Coastal_Sandy,6.8,115,1,28.8,30.8,460
42,Bihar,2014,Maize,Alluvial_Loam,7.1,140,1.6,56.2,25.9,1080
43,Kerala,2015,Cardamom,Forest_Soil,5.2,35,0.2,5.2,28.4,680
44,Assam,2016,Rice,Alluvial_Clay,5.7,120,1.4,39.5,21.2,1580
45,HP,2017,Wheat,Alluvial_Soil,7.2,145,1.7,46.8,26.1,880
46,AP,2018,Cotton,Black_Soil,7.6,125,1.3,25.5,24.4,1260
47,Odisha,2019,Rice,Red_Yellow,6.3,130,1.5,42.8,18.5,1020
48,Telangana,2020,Turmeric,Black_Soil,7.4,165,2.2,68.5,31.2,420
49,Punjab,2021,Wheat,Alluvial_Soil,7.3,205,2.9,66.2,23.1,1520
50,Haryana,2022,Rice,Alluvial_Soil,7.1,195,2.5,55.8,25.5,1100
51,Rajasthan,2023,Mustard,Sandy_Arid,7.8,120,1.1,32.5,27.2,840
52,UP,2024,Sugarcane,Alluvial_Soil,6.8,235,3.7,950,20.8,1420
53,Gujarat,2025,Castor,Sandy_Loam,7.6,110,0.9,36.8,29.5,580
54,Maharashtra,2026,Cotton,Black_Regur,7.9,135,1.2,27.5,18.2,1020
55,Karnataka,2000,Maize,Red_Loam,6.4,150,1.8,52.8,31.8,430
56,WB,2001,Jute,New_Alluvial,6.3,115,1.1,42.5,24.9,1150
57,TN,2002,Coconut,Coastal_Sandy,6.7,105,0.8,180,26.4,750
58,Bihar,2003,Maize,Alluvial_Loam,7.1,145,1.6,60.5,22.7,1320
59,Kerala,2004,Coffee,Laterite_Soil,5.4,85,0.7,17.8,19.9,1620
60,HP,2005,Apple,Mountain_Soil,6.1,175,2.3,172,28.6,510
61,Assam,2006,Rice,Alluvial_Clay,5.8,125,1.4,43.5,25.1,920
62,Punjab,2007,Rice,Alluvial_Soil,7.1,215,3,58.5,23.6,1280
63,Haryana,2008,Cotton,Sandy_Loam,7.7,135,1.6,32.8,17.5,1080
64,Rajasthan,2009,Guar,Sandy_Desert,8.4,65,0.5,19.5,32.5,380
65,UP,2010,Wheat,Alluvial_Soil,7.1,225,3.2,65.8,21.4,1570
66,Gujarat,2011,Groundnut,Sandy_Loam,7.3,120,1.2,34.2,27.9,720
67,Maharashtra,2012,Sugarcane,Deep_Black,7.9,245,3.9,920,24.8,1190
68,MP,2013,Gram,Black_Soil,7.5,115,1.1,24.5,20.1,960
69,WB,2014,Jute,Deltaic_Alluvial,6.3,120,1,35.8,30.2,590
70,AP,2015,Chillies,Black_Soil,7.5,140,1.6,27.5,25.7,1340
71,Karnataka,2016,Ragi,Red_Loamy,6.2,105,0.9,32.8,28.8,770
72,TN,2017,Coconut,Coastal_Sandy,6.7,110,1.1,152,22.2,1480
73,Kerala,2018,Tea,Laterite_Soil,5.2,175,2.4,35.2,19.4,1150
74,Bihar,2019,Maize,Alluvial_Soil,7,125,1.5,39.5,31.4,490
75,Assam,2020,Tea,Acidic_Alluvial,4.9,185,2.7,31.8,24.6,1020
76,HP,2021,Apple,Mountain_Soil,6,180,2.5,148,26.2,650
77,Odisha,2022,Rice,Red_Yellow,6.3,135,1.4,41.5,23.8,1550
78,Chhattisgarh,2023,Soybean,Red_Soil,6.2,120,1.2,22.8,21.5,880
79,Telangana,2024,Cotton,Black_Soil,7.6,145,1.6,25.2,29.9,1210
80,Uttarakhand,2025,Basmati_Rice,Loamy_Soil,6.6,155,1.8,38.5,25.3,990
81,Jharkhand,2026,Pulses,Red_Soil,6.3,95,0.7,16.2,27.7,1430
82,Punjab,2000,Mustard,Alluvial_Soil,7.2,140,1.5,28.5,18.9,740
83,Gujarat,2001,Castor,Sandy_Loam,7.5,125,1.3,33.5,30.6,460
84,Haryana,2002,Wheat,Alluvial_Soil,7.3,210,2.8,62.8,24.1,1120
85,UP,2003,Sugarcane,Alluvial_Soil,6.8,255,3.9,915,26.8,1300
86,WB,2004,Rice,Clayey_Alluvial,5.8,155,1.9,50.2,22.4,910
87,Maharashtra,2005,Cotton,Deep_Black,7.7,135,1.5,27.5,20.7,1520
88,MP,2006,Soybean,Medium_Black,7.4,130,1.4,21.8,28.1,630
89,Rajasthan,2007,Wheat,Sandy_Loam,7.8,110,1.1,39.5,25.9,1070
90,Karnataka,2008,Maize,Red_Loamy,6.5,160,2.1,45.8,23.2,1400
91,AP,2009,Cotton,Black_Soil,7.6,140,1.6,26.2,31.7,390
92,TN,2010,Banana,Alluvial_Loam,6.7,195,2.6,425,19.6,1250
93,Kerala,2011,Pepper,Red_Loam,5.5,75,0.6,11.5,27.4,860
94,Bihar,2012,Tobacco,Calcareous_Alluvial,7,120,1.3,30.2,24.3,1180
95,Assam,2013,Rubber,Forest_Soil,5.4,95,0.9,21.5,22.9,950
96,HP,2014,Potato,Mountain_Soil,5.8,175,2.5,268,28.5,560
97,J_K,2015,Saffron,Karewa_Soil,7.8,55,0.4,0.14,21.1,1460
98,Odisha,2016,Groundnut,Red_Soil,6.8,120,1.5,30.5,25.6,1030
99,Telangana,2017,Turmeric,Red_Loamy,6.9,170,2.4,75,23.7,1310
